stationName,Address,City,State,charger_type,stationModel,StationNetworkStatus,LastPortStatus,faultReason,StatusTimestamp,hours_unreachable,snapshot_utc
NYC FLEET / NYPD_ARCHERGN-2,92-33 168th St,Queens,New York,Level 2,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Station Unreachable,2024-12-13T11:19:44Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_SPRSTLOT-2,353 Spring Street,New York,New York,Level 2,CT4020-HD,Unreachable,UNREACHABLE,NONE,2025-11-05T14:36:37Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_LFRK_68+69,59-17 Junction Blvd,Flushing,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T15:00:27Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_WT_HP_CONST,1260 Ryawa Ave,Bronx,New York,Level 2,CT4020-HD2-GW-LTE,Unreachable,UNREACHABLE,NONE,2025-11-03T18:53:01Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_WT_HP_ADMIN,1260 Ryawa Ave,Bronx,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T16:30:45Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_SPRSTLOT-1,353 Spring Street,New York,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T14:36:36Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_K0001,50 Bedford Ave,Brooklyn,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-02-27T08:00:04Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_ Q0002,165-65 84th Ave,Queens,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2018-12-04T17:15:20Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_ Q0001,165-65 84th Ave,Queens,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T03:03:21Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_ R0001,6581 Hylan Blvd,Staten Island,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2019-03-07T18:00:07Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / OEMHQCADMAN-10,165 Cadman Plaza E,Brooklyn,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T05:40:23Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOH_56 DRIVE,5617 56th Dr,queens,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T03:35:39Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_Q04-2,52-35 58th street,Woodside,New York,Level 2,CPF50-L23,Unreachable,UNREACHABLE,NONE,2025-09-17T16:55:21Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_QBSROOF-2,52-07 58th St,Flushing,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-09-26T23:05:36Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_CROTONAPL#1,1700 Fulton Ave,Morrisania,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2024-12-13T11:20:15Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_FTTOTTEN422,421 Sylvester Ln,Fort Totten,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-09-07T07:36:38Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT_SPARE-4,42 South St,New York,New York,Level 2,CPF50,Unreachable,UNREACHABLE,NONE,2025-10-17T08:56:38Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPD_COLLPTTOW3,31-22 College Point Blvd,Flushing,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-04T21:46:28Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT_SPARE-1,32 Old Slip,New York,New York,Level 2,CPF25,Unreachable,UNREACHABLE,NONE,2025-10-17T12:36:37Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT_SPARE-2,32 Old Slip,New York,New York,Level 2,CPF25,Unreachable,UNREACHABLE,NONE,2025-10-17T12:36:37Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT_SPARE-3,42 South St,New York,New York,Level 2,CPF25,Unreachable,UNREACHABLE,NONE,2025-10-17T12:36:37Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOTMASPETHQNS-2,58-50 57th R,Maspeth,New York,Level 2,CPF50,Unreachable,UNREACHABLE,NONE,2025-07-26T10:03:13Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPDHQ_1PP_9_L3,1 Police Plaza,New York,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2024-12-12T23:24:37Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_ALLIED5,15 East Rd,Corona,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-02T07:22:52Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_ARSENAL18,East Dr,New York,New York,Level 2,CPF50-L18,Unreachable,NEEDS SERVICE,Station Unreachable,2024-08-11T20:05:19Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_BK12-S2,5602 19th Ave,Mapleton,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-06-20T00:06:47Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_MNRPR_1_L3,30 Pike St,New York,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2023-12-15T15:28:11Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEPNTWNCRK_2_L3,319 Greenpoint Ave,Greenpoint,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-10-15T19:38:28Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / HRA_FOSTER-S1,10300 Foster Avenue,Brooklyn,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-09-07T14:34:25Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPD_PSA7-1,737 Melrose Ave,The Bronx,New York,Level 2,CPF50-L18,Unreachable,NEEDS SERVICE,Station Unreachable,2025-03-07T04:03:47Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_SI3A-S3,1000 West Service Road,Staten Island,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-08-12T06:00:53Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPD_SPRGFLD-2,174-20 N Boundary Rd,Queens,New York,Level 2,CPF50-L18,Unreachable,NEEDS SERVICE,Station Unreachable,2023-08-19T00:11:50Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPD_83PCT-1,480 Knickerbocker Ave,Brooklyn,New York,Level 2,CPF50-L18,Unreachable,NEEDS SERVICE,Station Unreachable,2024-08-22T17:53:30Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_FBF-S1,50 Aviation Rd,Brooklyn,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T12:38:39Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_CNRSIEPK-S1,1501 E 102nd St,Brooklyn,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-03T12:54:47Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_BK11-S2,1824 Shore Pkwy,Brooklyn,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-09-05T14:38:42Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_BK11-S4,1824 Shore Pkwy,Brooklyn,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-04T18:42:57Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_BK11-S1,1824 Shore Pkwy,Brooklyn,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-08-12T22:14:49Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_SITS-S1,600 West Service Road,Travis - Chelsea,New York,Level 2,CT4010-HD2-GW-LTE,Unreachable,NEEDS SERVICE,Powered Off,2025-07-25T14:40:42Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRWFMARINA-S2,1 Marina Rd,Queens,New York,Level 2,CT4010-HD2-GW-LTE,Unreachable,UNREACHABLE,NONE,2025-11-02T07:55:48Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / ACS_LINDEN_2_L3,2554 Linden Blvd,East New York,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-11-05T12:24:23Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DHS_FARRAGUT-1,10107 Farragut Rd,Brooklyn,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-08-18T13:39:18Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_5BORO#9A-B,14 Bronx Shore Rd,New York,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-04T08:10:47Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPD_69PCT-2,9720 Foster Ave,Brooklyn,New York,Level 2,CPF50-L18,Unreachable,NEEDS SERVICE,Station Unreachable,2024-07-31T12:36:44Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_SI01-DCFC2,539 Jersey St,Staten Island,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-10-16T12:11:03Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_SI01-DCFC1,539 Jersey St,Staten Island,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-10-16T12:08:55Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOC_GRVC-1,09-09 Hazen Street,The Bronx,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T15:41:53Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPD_PSA4-2,130 Loisaida Ave,New York,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-10-18T10:36:25Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPD_PSA4-5,126 Loisaida Ave,New York,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-06-19T10:40:18Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_WDRC#1,3525 State Highway 10,Deposit,New York,Level 2,CT4020-HD2-GW-LTE,Unreachable,UNKNOWN,NONE,,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPD_MIDSOUTH2,357 W 35th St,New York,New York,Level 2,CPF50-L18,Unreachable,NEEDS SERVICE,Station Unreachable,2024-07-11T16:35:44Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOC_DCFLEET,15 Hazen St,Queens,New York,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-04T15:35:53Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DDC_HQ-S2,3030 Thomson Ave,Queens,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-08-06T22:15:40Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_VCP-S4,David Sheridan Plaza,The Bronx,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-09-07T03:48:17Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_VCP-S3,6477 US-9,The Bronx,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-09-18T13:51:30Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_SI1A-S2,3 Muldoon Ave,Staten Island,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-09-16T15:27:22Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_SWM-S2,3 Muldoon Ave,Staten Island,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-06-11T11:27:15Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_SWM-S1,3 Muldoon Ave,Staten Island,New York,Level 2,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2025-01-21T10:30:20Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DSNY_SI3A-S1,3 Muldoon Ave,Staten Island,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-16T22:04:15Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_BXWM-S1,3201 Jerome Ave,The Bronx,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-09-15T17:05:12Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_ASHOKN_1_L3,2398 NY-28A,Olivebridge,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-11-05T12:32:13Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT_SIREPAIR-1,1893 Richmond Ter,Staten Island,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-11-05T07:41:10Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_BXSCIHS-1,750 Baychester Ave Loading dock,The Bronx,New York,Level 2,CPF50-L18,Unreachable,NEEDS SERVICE,Station Unreachable,2023-12-29T13:21:55Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRROCKAWAY80S1,350 80 St,Queens,New York,Level 2,CT4010-HD2-GW-LTE,Unreachable,UNREACHABLE,NONE,2025-09-13T03:52:57Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRRIVERSIDE-S3,223 Riverside Dr,New York,New York,Level 2,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Station Unreachable,2024-12-12T01:36:20Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_RANDALLS-S2,4 Central Rd,New York,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T16:06:36Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEPOAKWWTP_4_L3,751 Mill Rd,Staten Island,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-06-23T14:03:37Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEPOAKWWTP_8_L3,751 Mill Rd,Staten Island,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-10-30T18:21:22Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_MILLPOND-S1,5968 Maj Wm Deegan Blvd,The Bronx,New York,Level 2,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2025-11-04T20:44:30Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_MIDLAND-S4,3 Iroquois St,Staten Island,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T14:25:10Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT_GLENDALE-S1,69-46 Sybilla St,Queens,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-05T15:25:26Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT_GLENDALE-S2,69-46 Sybilla St,Queens,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-30T18:04:46Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_OLMSTED-S1,12 Olmsted Dr,Queens,New York,Level 2,CT4010-HD2-GW-LTE,Unreachable,UNREACHABLE,NONE,2025-11-05T00:58:19Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_7WARDSI-S7,116 K Rd,New York,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-03T19:03:02Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_STJOSEPH-1,85 St Josephs Ave,Staten Island,New York,Level 2,CPF50-L18-PEDMNT-CMK6,Unreachable,UNREACHABLE,NONE,2025-11-05T02:24:28Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPD_75PCT-1,1000 Sutter Ave Back lot,Brooklyn,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-07-26T12:57:21Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT_BAT-#1,140 58th St,Brooklyn,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-07-08T19:02:56Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPR_OVRLK_B1_L3,80-30 Park Ln,Queens,New York,Unknown,900-00150-113NNN8S2,Unreachable,NEEDS SERVICE,Error in internal hard- or software component,2024-07-05T14:45:09Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYPD_123PCT-#1,116 Main St,Staten Island,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-10-16T22:13:36Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_Q80102,44-36 Vernon Blvd,LIC,New York,Level 2,CT4020-HD2-GW-LTE,Unreachable,UNKNOWN,NONE,2025-07-16T11:12:22Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_MNSEWR_2_L3,886 Saint Nicholas Avenue,New York,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,NEEDS SERVICE,Powered Off,2024-10-17T14:03:06Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / FDNY_BFIBK#1,5600 1st Ave,Brooklyn,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-11-05T17:17:17Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_KNGHWY197#1,1599 E 22nd St,Brooklyn,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-09-29T14:58:51Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOE_M646,321 E 96th St,New York,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T05:11:11Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DHS_COMM#27,64 Sunken Garden Loop,New York,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T05:26:18Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / OEMHQCADMAN-12,165 Cadman Plaza E,Brooklyn,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T05:19:10Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / OEMHQCADMAN-7,165 Cadman Plaza E,Brooklyn,New York,Level 2,CT600-GW1-RFID,Unreachable,NEEDS SERVICE,Station Unreachable,2022-03-02T05:19:53Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRCUNINGHM7A-B,196-03 Grand Central Pkwy,Queens,New York,Level 2,CT4020-HD2-GW-LTE,Unreachable,NEEDS SERVICE,Powered Off,2025-01-14T15:20:12Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_AVIATN_1_L3,84 Citation Dr,Wappingers Falls,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-07-14T19:03:50Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_AVIATN_2_L3,84 Citation Dr,Wappingers Falls,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-07-14T18:57:52Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DOT_206YRD_1_L3,300 West 206th Street,New York,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-09-18T04:57:24Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYCHA 23ASH2A B,23 Ash St,Greenpoint,New York,Level 2,CT4020-HD,Unreachable,UNREACHABLE,NONE,2025-10-20T10:15:47Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / NYCHA 23ASH3A B,23 Ash St,Greenpoint,New York,Level 2,CT4020-HD,Unreachable,UNREACHABLE,NONE,2025-10-20T10:15:47Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / FDNYMS ST1,135-16 38th Ave,Queens,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-04-23T06:11:54Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DCAS_PSAC2_2_L3,350 Marconi Street,The Bronx,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-09-11T09:19:04Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / FDNY_EMS7-1,100 Duane Street,New York,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-11-03T22:19:51Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DEP_OWLSHD_5_L3,6700 Shore Road,Brooklyn,New York,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,2025-11-05T08:32:12Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRCALVAUX-S2,1990 Shore Pkwy,Gravesend,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-03T17:46:12Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRHIGHWAYP2-S1,2900 Flatbush Ave,Brooklyn,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-04T22:38:19Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / FDNY_BFIBK#2,5600 1st Avenue FDNY,Brooklyn,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-11-05T17:17:17Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRROCKAWAY30,102 32 St,Queens,New York,Level 2,CT4010-HD2-GW-LTE,Unreachable,UNREACHABLE,NONE,2025-10-25T11:16:19Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRROCKAWAY30B,1-09 Beach 30th St,Queens,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-09-23T13:06:31Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRCUNINGHM6A-B,196-5 Grand Central Parkway N Svc Rd,Queens,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2025-01-14T15:20:08Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRCUNINGHM5A-B,196-5 Grand Central Parkway N Svc Rd,Queens,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2025-01-14T15:20:08Z,0.0,2025-11-05T17:32:49Z
